analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,hybrid_w1,0.9791062801932368,0.9569997987117552,0.9953703703703703,
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,released_hybrid_w3,0.988123993558776,0.9752415458937199,0.997584541062802,
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,hybrid_w6,0.9866143317230274,0.9734224033816427,0.9963768115942029,
retrieval_mmp_direction,20,138,326,scaffold_retention,graph_256,0.9613526570048309,0.927536231884058,0.9903381642512079,
retrieval_mmp_direction,20,138,326,scaffold_retention,mean_node_128,0.9637681159420289,0.927536231884058,0.9927536231884058,
retrieval_mmp_direction,20,138,326,scaffold_retention,hybrid_w1,0.9637681159420289,0.927536231884058,0.9927536231884058,
retrieval_mmp_direction,20,138,326,scaffold_retention,released_hybrid_w3,0.9637681159420289,0.927536231884058,0.9927536231884058,
retrieval_mmp_direction,20,138,326,scaffold_retention,hybrid_w6,0.9637681159420289,0.927536231884058,0.9927536231884058,
retrieval_mmp_direction,20,138,326,mmp_consistency,graph_256,0.956521739130435,0.926328502415459,0.9830917874396137,
retrieval_mmp_direction,20,138,326,mmp_consistency,mean_node_128,0.9794685990338163,0.957729468599034,0.9963768115942029,
retrieval_mmp_direction,20,138,326,mmp_consistency,hybrid_w1,0.9758454106280192,0.9504830917874397,0.995169082125604,
retrieval_mmp_direction,20,138,326,mmp_consistency,released_hybrid_w3,0.9842995169082124,0.964975845410628,0.997584541062802,
retrieval_mmp_direction,20,138,326,mmp_consistency,hybrid_w6,0.9818840579710143,0.9613526570048311,0.9964070048309177,
retrieval_mmp_direction,20,138,326,exact_requested_transform,graph_256,0.9480676328502416,0.9154589371980675,0.9758454106280194,
retrieval_mmp_direction,20,138,326,exact_requested_transform,mean_node_128,0.9746376811594201,0.9516908212560385,0.9927536231884058,
retrieval_mmp_direction,20,138,326,exact_requested_transform,hybrid_w1,0.9722222222222221,0.9456521739130435,0.9927838164251208,
retrieval_mmp_direction,20,138,326,exact_requested_transform,released_hybrid_w3,0.9794685990338166,0.9589070048309177,0.995169082125604,
retrieval_mmp_direction,20,138,326,exact_requested_transform,hybrid_w6,0.9770531400966183,0.9553140096618357,0.9939613526570049,
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,graph_256,0.7100688631939218,0.6943309664083416,0.725211989409216,
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,mean_node_128,0.7211668024315057,0.7081819602878207,0.7342080794794471,
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,hybrid_w1,0.7184141810305307,0.7046711169072898,0.7324254576528034,
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,released_hybrid_w3,0.7215362209027564,0.708491781363079,0.7346909995465166,
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,hybrid_w6,0.7215418051888788,0.7084091954934215,0.7346357940678466,
