strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
sample_t120_p0995,50,acyclic_non_mmp,46,0.45988036821717804,0.1201750174865413,0.1785714328289032,0.3590005785226822,0.375,0.4419642835855484,0.5260341167449951,0.6072303950786591,0.8409090638160706
sample_t120_p0995,100,all_genuine_nonseed,3888,0.5066859830715099,0.15691938928435487,0.12903225421905518,0.3132530152797699,0.3857142925262451,0.49038106203079224,0.6140350699424744,0.7242878377437593,1.0
sample_t120_p0995,100,one_cut_mmp_derivative,197,0.720804486631742,0.08231460885674638,0.47058823704719543,0.6341258764266968,0.6818181872367859,0.7142857313156128,0.7599999904632568,0.8378181576728821,0.9777777791023254
sample_t120_p0995,100,same_scaffold_non_mmp,395,0.643874347662624,0.14162291801589452,0.2708333432674408,0.4599421262741089,0.5593220591545105,0.6379310488700867,0.7333333492279053,0.8409090638160706,1.0
sample_t120_p0995,100,scaffold_changing,3226,0.4776382641999602,0.14330794389486307,0.12903225421905518,0.30434781312942505,0.3695652186870575,0.4597701132297516,0.5656464397907257,0.6782687604427338,0.949999988079071
sample_t120_p0995,100,acyclic_non_mmp,70,0.46864586685385023,0.1179638006954736,0.1785714328289032,0.3636363744735718,0.3760775849223137,0.4464285671710968,0.5291343182325363,0.5992835700511933,0.8837209343910217
sample_t120_p0995,250,all_genuine_nonseed,6968,0.4809917594369257,0.15099049868384826,0.12903225421905518,0.30000001192092896,0.3658536672592163,0.4590163826942444,0.578471764922142,0.692307710647583,1.0
sample_t120_p0995,250,one_cut_mmp_derivative,267,0.7168252879983923,0.08814375176254287,0.47058823704719543,0.6022641658782959,0.6729021072387695,0.7096773982048035,0.7669073045253754,0.8326586604118348,1.0
sample_t120_p0995,250,same_scaffold_non_mmp,572,0.6222292012372217,0.1420676142411091,0.2666666805744171,0.43765243887901306,0.5361024737358093,0.6259328424930573,0.7061359137296677,0.8257004678249358,1.0
sample_t120_p0995,250,scaffold_changing,6009,0.45732356919625733,0.1374998477383798,0.12903225421905518,0.2926078736782074,0.35555556416511536,0.44186046719551086,0.5432098507881165,0.6470588445663452,0.9846153855323792
sample_t120_p0995,250,acyclic_non_mmp,120,0.4682149787743886,0.12993121627923596,0.1785714328289032,0.3614552766084671,0.38492821902036667,0.44152046740055084,0.5283018946647644,0.6333877503871919,0.8837209343910217
sample_t120_p0995,500,all_genuine_nonseed,10960,0.46266384110004255,0.14474929790345933,0.1071428582072258,0.2916666567325592,0.35483869910240173,0.4430379867553711,0.5526315569877625,0.6666666865348816,1.0
sample_t120_p0995,500,one_cut_mmp_derivative,320,0.715818599332124,0.08902050718237829,0.47058823704719543,0.5995744884014129,0.6707650125026703,0.7106079161167145,0.7657081186771393,0.836727249622345,1.0
sample_t120_p0995,500,same_scaffold_non_mmp,730,0.6124859416729783,0.1422374188996117,0.26530611515045166,0.4246052742004395,0.5199999809265137,0.616843968629837,0.7031024545431137,0.8005555689334871,1.0
sample_t120_p0995,500,scaffold_changing,9750,0.4431210740506649,0.1316860612085819,0.1071428582072258,0.2857142984867096,0.3469387888908386,0.4285714328289032,0.523809552192688,0.6212121248245239,0.9846153855323792
sample_t120_p0995,500,acyclic_non_mmp,160,0.46367835784330963,0.1294098197216824,0.1785714328289032,0.35087719559669495,0.37931033968925476,0.4385964870452881,0.528579369187355,0.6279712080955505,0.8837209343910217
sample_t120_p0995,1000,all_genuine_nonseed,17361,0.44440141327266736,0.1380369253743652,0.1071428582072258,0.28358209133148193,0.34328359365463257,0.42500001192092896,0.5268816947937012,0.637499988079071,1.0
sample_t120_p0995,1000,one_cut_mmp_derivative,378,0.7105798122113344,0.08900098910621618,0.47058823704719543,0.586341255903244,0.6666666865348816,0.7071078419685364,0.7607930153608322,0.8286236763000489,1.0
sample_t120_p0995,1000,same_scaffold_non_mmp,939,0.5965182351323363,0.14372710185384677,0.22448979318141937,0.40506330132484436,0.5,0.6027397513389587,0.6896551847457886,0.7718095302581788,1.0
sample_t120_p0995,1000,scaffold_changing,15815,0.4286511175482853,0.12619959558004104,0.1071428582072258,0.27826085686683655,0.33695653080940247,0.41333332657814026,0.5063291192054749,0.5970149040222168,1.0
sample_t120_p0995,1000,acyclic_non_mmp,229,0.46902061133405526,0.13223705477489323,0.1785714328289032,0.35087719559669495,0.38596490025520325,0.4444444477558136,0.5333333611488342,0.6458333134651184,0.8837209343910217
